date_start                       ,driver_number ,duration_sector_1 ,duration_sector_2 ,duration_sector_3 ,i1_speed ,i2_speed ,is_pit_out_lap ,lap_duration ,lap_number ,meeting_key ,segments_sector_1                      ,segments_sector_2                      ,segments_sector_3                            ,session_key ,st_speed
2024-06-09 18:04:57.051000+00:00 ,            1 ,           28.815 ,           31.274 ,           37.583 ,     189 ,     263 ,False          ,      97.672 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2048, 2049, 2049, 2048]" ,"[2051, 2048, 2049, 2049, 2049, 2051, 2051]" ,       9531 ,     294
2024-06-09 18:05:09.810000+00:00 ,            2 ,           30.147 ,           32.561 ,           38.839 ,     181 ,     252 ,False          ,     101.547 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2048, 2049, 2048, 2048]" ,       9531 ,     288
2024-06-09 18:05:03.386000+00:00 ,            3 ,           30.528 ,           32.411 ,           38.667 ,     185 ,     261 ,False          ,     101.606 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2048, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     300
2024-06-09 18:04:58.777000+00:00 ,            4 ,           28.599 ,           31.697 ,           37.907 ,     197 ,     264 ,False          ,      98.203 ,         2 ,       1237 ,"[2049, 2049, 2049, 2049, 2051, 2049]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     291
2024-06-09 18:05:12.807000+00:00 ,           10 ,           31.04  ,           33.346 ,           38.719 ,     180 ,     261 ,False          ,     103.105 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     297
2024-06-09 18:05:12.048000+00:00 ,           11 ,           30.398 ,           33.017 ,           39.365 ,     193 ,     245 ,False          ,     102.78  ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 2051]" ,       9531 ,     244
2024-06-09 18:05:01.313000+00:00 ,           14 ,           29.527 ,           32.032 ,           39.069 ,     184 ,     264 ,False          ,     100.628 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2048, 2049, 2051]" ,       9531 ,     285
2024-06-09 18:05:06.493000+00:00 ,           16 ,           29.941 ,           33.051 ,           39.124 ,     178 ,     231 ,False          ,     102.116 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2048, 2048, 2049, 2048, 2051, 2049]" ,       9531 ,     275
2024-06-09 18:05:05.136000+00:00 ,           18 ,           30.732 ,           32.111 ,           38.123 ,     171 ,     265 ,False          ,     100.966 ,         2 ,       1237 ,"[None, 2049, 2048, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2048]" ,"[2048, 2048, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     302
2024-06-09 18:05:03.837000+00:00 ,           20 ,           28.804 ,           30.757 ,           37.232 ,     199 ,     267 ,False          ,      96.793 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2051]" ,"[2051, 2049, 2049, 2049, 2051, 2051]" ,"[2048, 2049, 2048, 2048, 2049, 2048, 2048]" ,       9531 ,     292
2024-06-09 18:05:06.684000+00:00 ,           22 ,           30.567 ,           33.103 ,           39.255 ,     187 ,     217 ,False          ,     102.925 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     248
2024-06-09 18:05:07.773000+00:00 ,           23 ,           30.886 ,           32.99  ,           39.034 ,     184 ,     238 ,False          ,     102.91  ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     266
2024-06-09 18:05:15.578000+00:00 ,           24 ,           31.384 ,           33.521 ,           38.763 ,     175 ,     247 ,False          ,     103.668 ,         2 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2048, 2049, 2048, 2049, 2048, 2049, 2049]" ,       9531 ,     263
2024-06-09 18:05:08.159000+00:00 ,           27 ,           29.843 ,           31.382 ,           37.415 ,     200 ,     260 ,False          ,      98.64  ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2051, 2049, 2048, 2049, 2048, 2049]" ,       9531 ,     279
2024-06-09 18:05:11.010000+00:00 ,           31 ,           30.741 ,           32.586 ,           39.61  ,     189 ,     249 ,False          ,     102.937 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2049, 2049, 2049]" ,       9531 ,     232
2024-06-09 18:05:02.239000+00:00 ,           44 ,           29.522 ,           32.393 ,           38.464 ,     185 ,     264 ,False          ,     100.379 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2048, 2049]" ,"[2048, 2049, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     289
2024-06-09 18:05:09.729000+00:00 ,           55 ,           31.034 ,           32.486 ,           39.059 ,     180 ,     253 ,False          ,     102.579 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 0]"    ,       9531 ,     285
2024-06-09 18:04:55.771000+00:00 ,           63 ,           28.287 ,           30.597 ,           37.672 ,     198 ,     264 ,False          ,      96.556 ,         2 ,       1237 ,"[2049, 2051, 2051, 2051, 2049, 2049]" ,"[2049, 2051, 2051, 2051, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2048, 2048, 0]"    ,       9531 ,     290
2024-06-09 18:05:13.859000+00:00 ,           77 ,           31.004 ,           33.562 ,           38.457 ,     180 ,     258 ,False          ,     103.023 ,         2 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2048, 2048, 2048, 2049]" ,"[2049, 2048, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     298
2024-06-09 18:05:00.458000+00:00 ,           81 ,           29.244 ,           31.939 ,           37.408 ,     194 ,     263 ,False          ,      98.591 ,         2 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2048, 2048, 2048, 2048]" ,       9531 ,     293
2024-06-09 18:06:34.792000+00:00 ,            1 ,           28.62  ,           31.275 ,           36.548 ,     182 ,     265 ,False          ,      96.443 ,         3 ,       1237 ,"[None, 2049, 2049, 2048, 2048, 2048]" ,"[2048, 2049, 2049, 2048, 2049, 2049]" ,"[2048, 2048, 2048, 2048, 2049, 2049, 2051]" ,       9531 ,     298
2024-06-09 18:06:51.163000+00:00 ,            2 ,           30.405 ,           32.068 ,           39.276 ,     175 ,     263 ,False          ,     101.749 ,         3 ,       1237 ,"[2048, 2049, 2048, 2048, 2049, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2051, 2048, 2049, 2049]" ,       9531 ,     304
2024-06-09 18:06:45.062000+00:00 ,            3 ,           29.874 ,           32.386 ,           38.299 ,         ,     240 ,False          ,     100.559 ,         3 ,       1237 ,"[2048, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2049, 2049, 2048, 2049, 2049, 2049]" ,       9531 ,     300
2024-06-09 18:06:37.047000+00:00 ,            4 ,           28.411 ,           31.343 ,           36.815 ,     195 ,     266 ,False          ,      96.569 ,         3 ,       1237 ,"[2049, 2049, 2048, 2051, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2049, 2048, 2049, 2048, 2048, 2049, 2049]" ,       9531 ,     297
2024-06-09 18:06:55.879000+00:00 ,           10 ,           30.326 ,           32.429 ,           37.741 ,     172 ,     260 ,False          ,     100.496 ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2048, 2048]" ,       9531 ,     299
2024-06-09 18:06:54.872000+00:00 ,           11 ,           30.513 ,           31.934 ,           37.608 ,     184 ,     263 ,False          ,     100.055 ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2048, 2048, 2049]" ,       9531 ,     303
2024-06-09 18:06:42.035000+00:00 ,           14 ,           29.434 ,           31.644 ,           37.138 ,     173 ,     267 ,False          ,      98.216 ,         3 ,       1237 ,"[2048, 2048, 2049, 2049, 2049, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049, 2048]" ,       9531 ,     301
2024-06-09 18:06:48.598000+00:00 ,           16 ,           28.968 ,           32.376 ,           37.903 ,     185 ,     255 ,False          ,      99.247 ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2048]" ,"[2049, 2048, 2048, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2048, 2049]" ,       9531 ,     287
